Date,Open,High,Low,Close,Volume,Company,Ticker
2023-11-02,179.50435667777504,180.13575841000585,178.70927035876795,179.4342041015625,4742730,Wipro,WIPRO.NS
2023-11-03,180.53329833485648,180.8606960359187,178.9664909480441,179.38742065429688,5291528,Wipro,WIPRO.NS
2023-11-06,180.53330295724183,180.74377495233622,179.13019438503528,179.9019012451172,4939936,Wipro,WIPRO.NS
2023-11-07,180.01883527353627,181.00101417407393,179.06005008084423,179.2705078125,5692178,Wipro,WIPRO.NS
2023-11-08,179.8785418675457,180.46317050448314,178.42865999330883,178.7560577392578,7102052,Wipro,WIPRO.NS
2023-11-09,179.13019206482082,179.59789491616502,177.58677836464835,178.1246337890625,9231126,Wipro,WIPRO.NS
2023-11-10,177.8673915797328,178.56894586827738,176.3239778541982,177.39968872070312,10710700,Wipro,WIPRO.NS
2023-11-13,178.94313328091772,179.08343844234872,177.7271028802629,178.49880981445312,3585902,Wipro,WIPRO.NS
2023-11-15,180.32283665156666,183.45645160429427,179.71482862702376,183.1758270263672,10792518,Wipro,WIPRO.NS
2023-11-16,183.17582145426735,186.84729174366186,182.07671688349646,185.7248077392578,13843576,Wipro,WIPRO.NS
2023-11-17,186.1457330150264,186.61343586179783,184.50877305132641,184.92970275878906,7886928,Wipro,WIPRO.NS
2023-11-20,183.90077772313552,187.5956276124243,183.90077772313552,187.17469787597656,8610496,Wipro,WIPRO.NS
2023-11-21,188.29717337656265,188.29717337656265,187.10452252545713,187.38514709472656,5440248,Wipro,WIPRO.NS
2023-11-22,188.2504058018243,188.2971789436118,186.66021889316116,187.1980743408203,5318582,Wipro,WIPRO.NS
2023-11-23,187.31499103048571,189.41965385105297,187.31499103048571,188.25039672851562,9677360,Wipro,WIPRO.NS
2023-11-24,188.25039564961136,188.71809849594578,184.99985515832375,185.2103271484375,6250566,Wipro,WIPRO.NS
2023-11-28,185.67803221182805,186.49651220268626,183.85399394397578,185.60787963867188,8145314,Wipro,WIPRO.NS
2023-11-29,186.14573910757213,191.07999859324556,186.14573910757213,190.00428771972656,15544086,Wipro,WIPRO.NS
2023-11-30,190.33168581927893,193.86283672589119,188.9753360979653,193.18466186523438,19825958,Wipro,WIPRO.NS
2023-12-01,193.51206324920693,193.51206324920693,190.12121742792172,190.65907287597656,9830426,Wipro,WIPRO.NS
2023-12-04,193.0209765202438,193.16128166933584,190.23813878693062,190.56553649902344,10662472,Wipro,WIPRO.NS
2023-12-05,190.54213431620065,191.2904617154403,188.06331497144956,189.1156463623047,11165368,Wipro,WIPRO.NS
2023-12-06,190.23813641448518,196.6222775354103,189.86397983946685,195.85057067871094,22082070,Wipro,WIPRO.NS
2023-12-07,196.4352097770659,197.1367640976983,194.86840227302176,195.61672973632812,11250552,Wipro,WIPRO.NS
